"dv_id","dv_ten","ldv_id","dv_diachi","dv_dienthoai","dv_fax","dv_email","dv_diachi_website","dv_diachi_webservice","dv_ma","companyid","dv_tree_path","sms_apdung","sms_tencuphap","sms_tenhienthi","dv_dinhdanh","dv_congchung_hienthi","dv_malienthong","dv_timeupdate","dv_exception","dv_revision"
"148","Công ty Điện lực Sóc Trăng","4","","","","admin@viettel.com.vn","test.motcua.soctrang.gov.vn","http://test.motcua.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","ĐLST","67","00001.00022","f","ĐLST","CGATE","","f","","2020-07-15","","4023"
"9","Sở Giao thông Vận tải","1","","","","admin@soctrang.gov.vn","motcuasogtvt.soctrang.gov.vn","http://motcuasogtvt.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.10.H51","10","00001.00005","t","SOGTVT","CGATE","","t","","2020-07-15","","4023"
"85","Sở Kế Hoạch Đầu Tư","1","","","","admin@motcua.sokhdt.soctrang.gov.vn","motcua.sokhdt.soctrang.gov.vn","http://motcua.sokhdt.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.02.H51","6","00001.00006","t","SKHDT","CGATE","","t","","2020-07-15","com.liferay.portal.NoSuchVirtualHostException: No VirtualHost exists with the key {hostname=motcua.sokhdt.soctrang.gov.vn}","4023"
"4","Sở Nội vụ","1","04 Châu Văn Tiếp, Phường 2, TP Sóc Trăng","","","admin@soctrang.gov.vn","motcuasonoivu.soctrang.gov.vn","http://motcuasonoivu.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.08.H51","5","00001.00009","t","SONOIVU","CGATE","","t","","2020-07-15","","4023"
"46","Sở Lao động Thương binh và Xã hội","1","","","","admin@soctrang.gov.vn","motcuasoldtbxh.soctrang.gov.vn","http://motcuasoldtbxh.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.11.H51","65","00001.00008","t","SOLDTBXH","CGATE","","t","","2020-07-15","","4023"
"11","Sở Tư pháp","1","","","","admin@soctrang.gov.vn","motcuasotuphap.soctrang.gov.vn","http://motcuasotuphap.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.13.H51","12","00001.00013","t","SOTP","CGATE","","t","","2020-07-15","","4023"
"3","Sở Nông nghiệp và PTNT ","1","08 đường Hùng Vương, TP Sóc Trăng","","","admin@soctrang.gov.vn","motcuasonnptnt.soctrang.gov.vn","http://motcuasonnptnt.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.03.H51","3","00001.00010","t","SONNPTNT","CGATE","","t","","2020-07-15","","4023"
"166","Công An Tỉnh","1","","","","admin@motcua.congan.soctrang.gov.vn","motcuacongan.soctrang.gov.vn","http://motcuacongan.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","CONGAN","432075","00001.00018","t","CONGAN","CGATE","","t","","2020-07-15","","4023"
"86","Sở Tài nguyên và Môi trường","1","","","","admin@soctrang.gov.vn","motcuasotnmt.soctrang.gov.vn","http://motcuasotnmt.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.05.H51","74","00001.00012","t","SOTNMT","CGATE","","t","","2020-07-15","","4023"
"10","Sở Y tế","1","","","","admin@soctrang.gov.vn","motcuasoyte.soctrang.gov.vn","http://motcuasoyte.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.15.H51","11","00001.00016","t","SOYTE","CGATE","","t","","2020-07-15","","4023"
"117","Ban dân tộc","1","","","","admin@soctrang.gov.vn","motcuabandantoc.soctrang.gov.vn","http://motcuabandantoc.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.18.H51","66","00001.00020","f","BANDANTOC","CGATE","","t","","2020-07-15","","4023"
"6","Sở Văn hóa Thể thao và Du lịch","1","","","","admin@soctrang.gov.vn","motcuasovhttdl.soctrang.gov.vn","http://motcuasovhttdl.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.16.H51","7","00001.00014","t","SOVHTTDL","CGATE","","t","","2020-07-15","","4023"
"165","Ban quản lý các Khu công nghiệp","1","","","","admin@motcua.kcn.soctrang.gov.vn","motcuakcn.soctrang.gov.vn","http://motcuakcn.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.30.H51","395306","00001.00021","f","BQLCKCN","CGATE","","t","","2020-07-15","","4023"
"12","Sở Khoa học và Công nghệ","1","","","","admin@soctrang.gov.vn","motcuasokhcn.soctrang.gov.vn","http://motcuasokhcn.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.07.H51","2","00001.00007","t","SOKHCN","CGATE","","t","","2020-07-15","","4023"
"13","Sở Tài chính","1","01Bis đường Hồ Hoàng Kiếm, Khóm 1, Phường 2, TP.Sóc Trăng, tỉnh Sóc Trăng","","","admin@soctrang.gov.vn","motcuasotaichinh.soctrang.gov.vn","http://motcuasotaichinh.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.12.H51","13","00001.00011","t","SOTC","CGATE","","t","","2020-07-15","","4023"
"7","Sở Xây dựng","1","","","","admin@soctrang.gov.vn","motcuasoxaydung.soctrang.gov.vn","http://motcuasoxaydung.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.14.H51","8","00001.00015","t","SOXD","CGATE","","t","","2020-07-15","","4023"
"45","Sở Thông tin và Truyền thông","1","","","","admin@soctrang.gov.vn","motcuasotttt.soctrang.gov.vn","http://motcuasotttt.soctrang.gov.vn/cgate-portlet/services/selectData?wsdl","000.00.04.H51","69","00001.00002","t","SOTTTT","CGATE","","t","","2020-07-15","","4023"
